Tag,Description
NNG,일반 명사
NNP,고유 명사
NNB,의존 명사
NR,수사
NP,대명사
VV,동사
VA,형용사
VX,보조 용언
VCP,긍정 지시사(이다)
VCN,부정 지시사(아니다)
MM,관형사
MAG,일반 부사
MAJ,접속 부사
IC,감탄사
JKS,주격 조사
JKC,보격 조사
JKG,관형격 조사
JKO,목적격 조사
JKB,부사격 조사
JKV,호격 조사
JKQ,인용격 조사
JX,보조사
JC,접속 조사
EP,선어말 어미
EF,종결 어미
EC,연결 어미
ETN,명사형 전성 어미
ETM,관형형 전성 어미
XPN,체언 접두사
XSN,명사 파생 접미사
XSV,동사 파생 접미사
XSA,형용사 파생 접미사
XSM,부사 파생 접미사*
XR,어근
SF,종결 부호(. ! ?)
SP,"구분 부호(, / : ;)"
SS,"인용 부호 및 괄호(' "" ( ) [ ] < > { } ― ‘ ’ “ ” ≪ ≫ 등)"
SSO,SS 중 여는 부호*
SSC,SS 중 닫는 부호*
SE,줄임표(…)
SO,붙임표(- ~)
SW,기타 특수 문자
SL,알파벳(A-Z a-z)
SH,한자
SN,숫자(0-9)
SB,순서 있는 글머리(가. 나. 1. 2. 가) 나) 등)*
UN,분석 불능*
W_URL,웹(W) URL 주소*
W_EMAIL,이메일 주소*
W_HASHTAG,해시태그(#abcd)*
W_MENTION,멘션(@abcd)*
W_SERIAL,"일련번호(전화번호, 통장번호, IP주소 등)*"
W_EMOJI,이모지*
Z_CODA,기타 덧붙은 받침*
USER0~4,사용자 정의 태그*
